Ref,Value,Package,MPN,Qty,Supplier,Notes
"U1","Raspberry Pi 5 4GB","85x56mm SBC","SC1112","1","Raspberry Pi","Mounted on chassis, connected via ribbon"
"U2","ESP32-S3-DevKitC-1","ESP32-S3-DEVKIT","ESP32-S3-DevKitC-1-N8R8","1","Espressif / Mouser","Main MCU on PCB"
"U3","DRV8833PWP","QFN16-4X4","DRV8833PWP","1","TI / Digi-Key","Dual H-bridge motor driver"
"U4","BNO055","LGA28-5X4","BNO055","1","Bosch / Mouser","9-DOF IMU"
"U5","VL53L5CX","VL53L5CX","VL53L5CX","1","ST Micro / Mouser","ToF sensor front"
"U6","VL53L5CX","VL53L5CX","VL53L5CX","1","ST Micro / Mouser","ToF sensor rear (rot 180)"
"U7","SSD1306 OLED Module","27x27mm module","SSD1306","1","Various","0.96 inch I2C OLED"
"U8","BMS 3S 10A","PCB module","BMS-3S-10A","1","Various","Battery management system"
"U9","DC-DC Buck 5V 5A","LM2596 module","LM2596S-5.0","1","Various","Steps 11.1V to 5V for logic"
"U10","AMS1117-3.3 LDO","SOT-223","AMS1117-3.3","1","Various","3.3V LDO regulator"
"J1","YDLIDAR X4 Connector","JST-PH4","PHR-4","1","JST","LiDAR power + UART"
"J2","Pi Camera CSI0 FPC","FPC15","FH33J-15S-0.5SH","1","Hirose","Camera 1 CSI ribbon"
"J3","Pi Camera CSI1 FPC","FPC15","FH33J-15S-0.5SH","1","Hirose","Camera 2 CSI ribbon"
"J4","SSD1306 I2C Header","HDR4-I2C","Various","1","Various","4-pin I2C to OLED"
"J5","E-Stop Button","JST-PH2","PHR-2","1","Various","Normally-closed E-Stop"
"J6","Bumper Switch 1","SW3PIN","SS-5GL","1","Omron","Front bumper microswitch"
"J7","Bumper Switch 2","SW3PIN","SS-5GL","1","Omron","Rear bumper microswitch"
"J8","RPi5 GPIO Header","2x20 2.54mm","","1","Samtec","40-pin GPIO connection"
"BT1","3S2P 18650 Pack","Custom tray","NCR18650B x6","1","Panasonic","11.1V 6800mAh LiPo pack"
"C1-C4","100nF","0402","CC0402KRX5R8BB104","4","Yageo","Decoupling caps sensor area"
"C5-C8","100nF","0402","CC0402KRX5R8BB104","4","Yageo","Decoupling caps MCU area"
"C9-C10","10uF","0805","C2012X5R1V106K085AC","2","TDK","Bulk bypass caps"
"C11-C12","4.7uF","0805","C2012X5R1V475K085AC","2","TDK","Power rail bulk"
"R1-R4","4.7k Ohm","0402","RC0402FR-074K7L","4","Yageo","I2C pull-up resistors"
"R5-R8","10k Ohm","0402","RC0402FR-0710KL","4","Yageo","GPIO pull-down resistors"
