ADVIKA 3.0 - COMPLETE BILL OF MATERIALS (BOM)
Generated by Fusion 360 MCP Agent

PRINTED PARTS
#,Part Name,Qty,Material,Infill %,Perimeters,Supports,Weight(g),Print Time(h),Notes
1,advika_chassis,1,PLA Dark Grey,20,3,No,45,3.5,Base plate 200x150x3mm - cable channels cut
2,advika_motor_mount_L,1,PLA Blue,40,4,No,8,0.8,Left motor bracket 30x30x20mm - load bearing
3,advika_motor_mount_R,1,PLA Blue,40,4,No,8,0.8,Right motor bracket 30x30x20mm - load bearing
4,advika_wheel_hub_L,1,PLA Black,50,5,No,14,1.4,D60x10mm + tyre tread + D-flat 8mm bore
5,advika_wheel_hub_R,1,PLA Black,50,5,No,14,1.4,D60x10mm + tyre tread + D-flat 8mm bore
6,advika_lidar_tower,1,PLA Lt Grey,30,3,No,15,1.5,40x40x80mm column - use brim
7,advika_top_dome,1,PLA Green,15,3,Yes,18,2.0,D100x50mm - SUPPORTS REQUIRED
8,advika_camera_horizon,1,PLA Amber,25,3,No,6,0.6,50x30x20mm front navigation camera mount
9,advika_camera_floor,1,PLA Amber,25,3,No,5,0.5,40x25x15mm floor detection camera mount
10,advika_imu_mount,1,PLA Purple,30,3,No,3,0.4,30x30x8mm IMU platform
11,advika_battery_tray,1,PLA Orange,30,3,No,20,1.8,150x80x20mm LiPo battery tray
12,advika_bumper_front,1,PLA Red,45,4,No,9,0.7,210x15x10mm impact bumper FRONT
13,advika_bumper_rear,1,PLA Red,45,4,No,9,0.7,210x15x10mm impact bumper REAR
14,advika_esp32_enclosure,1,PLA Cyan,25,3,No,7,0.8,60x40x20mm controller body (lid removed)
15,advika_esp32_lid,1,PLA Cyan,25,3,No,2,0.3,60x40x5mm snap lid NEW v2.0
,PRINTED TOTALS,15,PLA,,,,183,17.2,

PURCHASED HARDWARE
#,Item,Qty,Spec,Purpose,Source
1,Steel Axle Rod,1,D8mm x 170mm,Wheel axle shaft,Hardware store
2,DC Motor + Encoder,2,6V 150RPM N20,Drive wheels,Amazon/Aliexpress
3,ESP32 DevKit,1,38-pin,Main controller,Amazon
4,RPLiDAR A1,1,360deg 10m range,SLAM navigation,Slamtec
5,MPU6050 IMU,1,6-axis,Orientation,Amazon
6,Camera Module,2,OV2640 or Pi Cam,Horizon + Floor,Amazon
7,LiPo Battery,1,3S 2200mAh,Power supply,Amazon
8,L298N Motor Driver,1,Dual H-Bridge,Motor control,Amazon
9,M3x10 Bolts,16,M3 x 10mm,Motor mount fixing,Hardware store
10,M3x6 Bolts,8,M3 x 6mm,Bumper fixing,Hardware store
11,M3x12 Bolts,4,M3 x 12mm,LiDAR tower,Hardware store
12,M4 Set Screw,2,M4 x 4mm,Wheel hub locking,Hardware store
13,M2x5 Bolts,8,M2 x 5mm,Camera + IMU,Hardware store
14,M2.5x6 Bolts,4,M2.5 x 6mm,ESP32 enclosure,Hardware store
15,M3 Threaded Inserts,20,Heat-set,Chassis inserts,Amazon
16,Velcro Strap,2,200mm,Battery retention,Hardware store
17,JST Connector Set,1,2-3 pin,Power connections,Amazon
18,USB-C Cable,1,1m,ESP32 programming,Any

ROBOT SPECIFICATIONS
Param,Value
Total Weight (estimated),~450g assembled
Dimensions (LxWxH),210 x 170 x 133mm
Wheel Track,160mm
Wheel Diameter,60mm (64mm with tread)
Max Speed (estimated),0.5 m/s
Sensor Range (LiDAR),10m
Battery Life (estimated),~90 min
Operating Voltage,3.7-12.6V (3S LiPo)
