ADVIKA 3.0 - PDCA VERIFICATION REPORT
Generated by Fusion 360 MCP Agent

#,Component Name,W_actual(mm),D_actual(mm),H_actual(mm),W_ref(mm),D_ref(mm),H_ref(mm),CentreX(mm),CentreY(mm),Zbase(mm),Material,PDCA_Status
1,advika_chassis,200.0,150.0,3.0,200,150,3,0.0,0.0,0.0,PLA - Dark Grey,PASS
2,advika_lidar_tower,40.0,40.0,80.0,40,40,80,0.0,0.0,3.0,PLA - Light Grey,PASS
3,advika_top_dome,100.0,100.0,50.0,100,100,50,0.0,0.0,83.0,PLA - Green,PASS
4,advika_camera_horizon,50.0,30.0,20.0,50,30,20,80.0,0.0,3.0,PLA - Amber,PASS
5,advika_camera_floor,40.0,25.0,15.0,40,25,15,90.0,0.0,0.0,PLA - Amber,PASS
6,advika_imu_mount,30.0,30.0,8.0,30,30,8,0.0,0.0,3.0,PLA - Purple,PASS
7,advika_battery_tray,150.0,80.0,20.0,150,80,20,-40.0,0.0,3.0,PLA - Orange,PASS
8,advika_bumper_front,210.0,15.0,10.0,210,15,10,105.0,0.0,0.0,PLA - Red,PASS
9,advika_bumper_rear,210.0,15.0,10.0,210,15,10,-105.0,0.0,0.0,PLA - Red,PASS
10,advika_esp32_enclosure,60.0,40.0,25.0,60,40,25,-70.0,-40.0,3.0,PLA - Cyan,PASS
11,advika_wheel_hub_L,60.0,10.0,60.0,60,60,10,0.0,80.0,0.0,PLA - Black,FAIL
12,advika_wheel_hub_R,60.0,10.0,60.0,60,60,10,0.0,-80.0,0.0,PLA - Black,FAIL
13,advika_motor_mount_L,30.0,30.0,20.0,30,30,20,0.0,60.0,3.0,PLA - Blue,PASS
14,advika_motor_mount_R,30.0,30.0,20.0,30,30,20,0.0,-60.0,3.0,PLA - Blue,PASS
15,advika_axle_shaft,8.0,150.0,8.0,8,8,170,0.0,0.0,26.0,Metal - Steel,FAIL
